instrument,avg_score,pos_ratio,real_label,datetime,KMID,KLEN,KMID2,KUP,KUP2,KLOW,KLOW2,KSFT,KSFT2,OPEN0,HIGH0,LOW0,VWAP0,ROC5,ROC10,ROC20,ROC30,ROC60,MA5,MA10,MA20,MA30,MA60,STD5,STD10,STD20,STD30,STD60,BETA5,BETA10,BETA20,BETA30,BETA60,RSQR5,RSQR10,RSQR20,RSQR30,RSQR60,RESI5,RESI10,RESI20,RESI30,RESI60,MAX5,MAX10,MAX20,MAX30,MAX60,MIN5,MIN10,MIN20,MIN30,MIN60,QTLU5,QTLU10,QTLU20,QTLU30,QTLU60,QTLD5,QTLD10,QTLD20,QTLD30,QTLD60,RANK5,RANK10,RANK20,RANK30,RANK60,RSV5,RSV10,RSV20,RSV30,RSV60,IMAX5,IMAX10,IMAX20,IMAX30,IMAX60,IMIN5,IMIN10,IMIN20,IMIN30,IMIN60,IMXD5,IMXD10,IMXD20,IMXD30,IMXD60,CORR5,CORR10,CORR20,CORR30,CORR60,CORD5,CORD10,CORD20,CORD30,CORD60,CNTP5,CNTP10,CNTP20,CNTP30,CNTP60,CNTN5,CNTN10,CNTN20,CNTN30,CNTN60,CNTD5,CNTD10,CNTD20,CNTD30,CNTD60,SUMP5,SUMP10,SUMP20,SUMP30,SUMP60,SUMN5,SUMN10,SUMN20,SUMN30,SUMN60,SUMD5,SUMD10,SUMD20,SUMD30,SUMD60,VMA5,VMA10,VMA20,VMA30,VMA60,VSTD5,VSTD10,VSTD20,VSTD30,VSTD60,WVMA5,WVMA10,WVMA20,WVMA30,WVMA60,VSUMP5,VSUMP10,VSUMP20,VSUMP30,VSUMP60,VSUMN5,VSUMN10,VSUMN20,VSUMN30,VSUMN60,VSUMD5,VSUMD10,VSUMD20,VSUMD30,VSUMD60
SZ002236,0.14649381242580176,1.0,,2026-05-27,0.0,0.036137752,0.0,0.033314534,0.92187613,0.0028232206,0.07812385,-0.030491313,-0.84375226,1.0,1.0333146,0.99717677,1.0116329,0.9967117,1.0138612,1.0050124,0.9640798,1.0652981,0.99317676,0.98963386,0.99917454,1.0082912,0.989384,0.013525668,0.013763601,0.015027661,0.022913417,0.03758353,0.007300494,0.0028435723,-0.0011355606,-0.0015358124,0.0003004209,0.7283281,0.39126936,0.19985083,0.34817562,0.019487903,-0.007777758,-0.0024299098,0.011613315,0.013978084,0.0017535925,1.0333146,1.0333146,1.0431752,1.0719353,1.0719353,0.9651852,0.96241957,0.96241957,0.9502522,0.9043461,1.0022539,1.0022424,1.0119772,1.023041,1.0133017,0.9846546,0.97712797,0.9868673,0.988749,0.9567816,0.6,0.7,0.4,0.3,0.5,0.51101005,0.530086,0.46536,0.4088308,0.57076395,1.0,1.0,0.2,0.13333334,0.56666666,0.4,0.3,0.65,0.033333335,0.28333333,0.6,0.7,-0.45,0.1,0.28333333,-0.37773246,-0.31411272,0.26065508,0.6248244,0.6546014,-0.5675052,0.0063936547,0.04103666,0.3696342,0.08585657,0.6,0.5,0.5,0.5,0.48333332,0.4,0.5,0.45,0.46666667,0.48333332,0.2,0.0,0.05,0.033333335,0.0,0.5264807,0.45447728,0.48991397,0.5434554,0.45855492,0.47351933,0.54552275,0.510086,0.45654455,0.5414451,0.052961327,-0.09104545,-0.020172045,0.086910896,-0.08289016,0.85253805,0.86908185,0.95560163,1.0290887,0.8341126,0.12580697,0.09880441,0.19401833,0.3263006,0.34843293,0.8019568,0.702449,0.77896583,0.9246079,1.1230576,0.59317106,0.43465263,0.5479161,0.5195664,0.50033045,0.40682894,0.5653474,0.4520839,0.48043358,0.49966952,0.18634209,-0.13069475,0.09583225,0.03913284,0.00066092727
SH601077,0.08792625565082605,1.0,,2026-05-27,-0.020679465,0.032496255,-0.6363646,0.0073855636,0.22727431,0.004431225,0.1363611,-0.023633804,-0.7272778,1.0211161,1.0286577,0.99547523,1.0053853,1.0383818,1.0363071,1.1182574,1.0995852,0.98340255,1.0221993,1.0316391,1.0579357,1.073859,1.0594572,0.012547179,0.013421052,0.03533274,0.0374985,0.03754532,-0.0062240735,-0.003866466,-0.00563676,-0.0036813612,0.0006486069,0.615173,0.7607933,0.89078426,0.7469488,0.09102304,-0.009751076,-0.014239957,-0.0043865214,-0.020479238,-0.07859108,1.0486609,1.0548886,1.1349525,1.1389985,1.1389985,0.99547523,0.99547523,0.99547523,0.99547523,0.96671724,1.0292531,1.0414938,1.0960581,1.1097511,1.0960581,1.020747,1.0259337,1.0298756,1.0360996,1.0284233,0.2,0.1,0.05,0.033333335,0.06666667,0.08507539,0.076157816,0.03244108,0.03152655,0.19318843,0.2,0.3,0.05,0.06666667,0.53333336,1.0,1.0,1.0,1.0,0.033333335,-0.8,-0.7,-0.95,-0.93333334,0.5,-0.47923344,-0.29351726,-0.12034296,-0.43262622,-0.5246778,-0.7527837,-0.6945408,-0.47289884,-0.38868472,0.22927965,0.2,0.3,0.2,0.3,0.48333332,0.6,0.6,0.75,0.6333333,0.48333332,-0.4,-0.3,-0.55,-0.33333334,0.0,0.025641613,0.26027423,0.13924041,0.28761023,0.5130293,0.9743584,0.73972577,0.86075956,0.71238977,0.48697072,-0.94871676,-0.47945157,-0.7215192,-0.4247795,0.026058568,0.8532534,0.8159702,0.9244713,0.8297286,1.0293343,0.1548643,0.17429385,0.27625075,0.27598315,0.3963574,1.3905665,1.1313921,1.0965074,1.1519051,1.2569695,0.6942995,0.46585137,0.5524929,0.5180245,0.5020544,0.3057005,0.53414863,0.44750708,0.48197553,0.49794564,0.388599,-0.06829729,0.104985826,0.036048952,0.0041087545
SH600570,0.08657288867273581,1.0,,2026-05-27,-0.018597491,0.03525768,-0.52747357,0.013560625,0.38461483,0.0030995603,0.08791164,-0.029058557,-0.8241767,1.0189499,1.0327675,0.9968417,1.0117894,1.0422459,1.0797503,1.0343521,1.0615876,1.1784492,1.0223472,1.0355327,1.05239,1.0516795,1.0536473,0.013607463,0.018518394,0.027815169,0.023069192,0.03860536,-0.0059622866,-0.0046752216,-0.0022689404,-0.000632453,-0.0007350534,0.47996703,0.58426416,0.23289001,0.05824967,0.1105713,-0.010422644,-0.014494193,-0.03083507,-0.042508937,-0.031963207,1.0852768,1.095539,1.1085705,1.1085705,1.1887085,0.9968417,0.9968417,0.9968417,0.9968417,0.9696003,1.0325358,1.0532169,1.0814095,1.0664845,1.0852009,1.0157946,1.0251083,1.0317413,1.0322983,1.020372,0.2,0.1,0.05,0.033333335,0.06666667,0.03571316,0.031999838,0.028267547,0.028267547,0.13874279,0.2,0.1,0.4,0.6,0.016666668,1.0,1.0,1.0,1.0,0.35,-0.8,-0.9,-0.6,-0.4,-0.33333334,0.29802516,-0.20979157,0.39147484,0.36069065,0.35285982,-0.08420969,-0.14076595,0.2489014,0.35056046,0.17882137,0.2,0.3,0.45,0.43333334,0.46666667,0.8,0.7,0.5,0.53333336,0.51666665,-0.6,-0.4,-0.05,-0.1,-0.05,0.18714394,0.26177666,0.4414443,0.42367706,0.406219,0.8128561,0.7382233,0.55855566,0.5763229,0.593781,-0.6257121,-0.47644666,-0.117111355,-0.15264587,-0.18756197,1.1077332,1.038065,1.079102,0.9687515,0.90322244,0.19572866,0.1971027,0.29060388,0.2903488,0.30564076,0.51595587,0.46925077,0.71877766,0.7760327,0.99374413,0.6055349,0.49838734,0.5350312,0.4603154,0.50195503,0.39446512,0.50161266,0.46496883,0.5396846,0.49804497,0.21106976,-0.0032253466,0.07006236,-0.07936919,0.003910053
SH601988,0.07648491114570338,1.0,,2026-05-27,-0.008474597,0.02881352,-0.29411873,0.013559283,0.47058752,0.0067796414,0.23529376,-0.015254238,-0.5294125,1.0085471,1.0222222,0.9931624,1.007714,0.9742063,0.97751325,0.9927249,0.9656085,0.9007936,1.0022486,0.99444443,0.9870701,0.9888448,0.96723986,0.0074621057,0.011037012,0.01194621,0.012126607,0.03263173,0.002579366,0.0025172306,0.0012148404,0.00021776035,0.0015070691,0.29870546,0.47682002,0.36194804,0.024990829,0.65055794,-0.0074073854,-0.005771972,0.0013889123,0.0079976795,-0.011698393,1.0222222,1.0222222,1.0222222,1.0222222,1.0222222,0.9674717,0.9674717,0.9589341,0.953427,0.8971542,1.0088624,1.0027777,0.9968254,0.9984127,0.994709,0.9982804,0.9883598,0.97526455,0.9771164,0.92579365,0.4,0.7,0.85,0.8333333,0.8666667,0.59411854,0.59411854,0.64887214,0.67698014,0.822319,1.0,1.0,1.0,1.0,1.0,0.2,0.6,0.4,0.033333335,0.033333335,0.8,0.4,0.6,0.96666664,0.96666664,-0.562678,0.4285026,0.49751258,0.2793069,-0.011733441,0.56962603,0.59200484,0.41252682,0.5335406,0.4523488,0.8,0.7,0.45,0.46666667,0.5,0.2,0.2,0.45,0.43333334,0.4,0.6,0.5,0.0,0.033333335,0.1,0.7826091,0.6307694,0.5263157,0.5807454,0.60445684,0.21739091,0.36923063,0.4736843,0.41925463,0.39554313,0.5652182,0.2615387,0.052631397,0.16149075,0.20891374,1.115494,1.031354,0.9171092,0.85717404,0.9824999,0.1327312,0.16157156,0.19634731,0.19672437,0.35230595,0.7307643,0.7597581,0.8556371,0.91661197,1.4205834,0.58901745,0.56929886,0.55469555,0.52911574,0.5120063,0.41098255,0.43070114,0.44530445,0.47088426,0.48799372,0.17803493,0.13859771,0.10939107,0.05823145,0.02401254
SZ002230,0.06282991225659727,0.75,,2026-05-27,0.02051182,0.046506904,0.44104898,0.015028389,0.32314318,0.010966692,0.23580785,0.016450126,0.35371363,0.9799005,1.0147263,0.9691542,0.9978772,0.95522827,0.98308104,0.976512,0.9480607,1.108258,0.96608907,0.9619477,0.9712509,0.9693439,0.97936803,0.025680277,0.020563176,0.020502262,0.018171536,0.046587035,0.01592193,0.0038171296,-0.00074605044,0.00015829776,-0.0012727586,0.961019,0.31586748,0.046344783,0.005881227,0.22764689,0.0020670546,0.020875257,0.035836585,0.02836076,0.058178328,1.0147263,1.0147263,1.0147263,1.0147263,1.119797,0.93073773,0.93073773,0.93073773,0.93073773,0.90267926,0.98408246,0.9780243,0.9916383,0.98479193,1.0270237,0.9416843,0.9416843,0.9506007,0.9510007,0.9394654,1.0,1.0,0.95,0.96666664,0.73333335,0.8246628,0.8246628,0.8246628,0.8246628,0.4482394,1.0,1.0,1.0,1.0,0.016666668,0.4,0.7,0.85,0.9,0.36666667,0.6,0.3,0.15,0.1,-0.35,0.848769,0.67739594,0.3668706,0.39702266,0.30387932,0.12294177,0.2857739,0.30993354,0.33650893,0.35167393,0.8,0.6,0.55,0.6,0.51666665,0.2,0.4,0.45,0.4,0.48333332,0.6,0.2,0.1,0.2,0.033333335,0.79215086,0.5461568,0.53542024,0.56146777,0.43912134,0.20784913,0.45384315,0.4645798,0.43853223,0.56087863,0.5843017,0.092313685,0.07084044,0.12293553,-0.12175732,0.6107624,0.55206984,0.5133289,0.4525148,0.38972452,0.2362046,0.17790498,0.14868864,0.15088445,0.14603482,0.69048244,0.6400333,0.75066763,0.8823202,1.0154272,0.830314,0.68334997,0.63558465,0.60935974,0.55529493,0.16968602,0.31665003,0.36441535,0.3906403,0.44470504,0.66062796,0.36669996,0.27116933,0.21871944,0.1105899
SH601825,0.04852005848147532,1.0,,2026-05-27,-0.016451174,0.025851976,-0.63636047,0.0035253002,0.13636483,0.0058755004,0.22727472,-0.014100975,-0.54545057,1.0167264,1.0203106,0.99402624,1.004493,1.0378377,1.0324323,1.090991,1.099099,1.0,1.0178379,1.0317117,1.0421622,1.0586786,1.0552852,0.011992465,0.017239418,0.021078601,0.030081833,0.031449612,-0.007297292,-0.005318038,-0.0029804222,-0.0031891298,0.00020361031,0.9256494,0.87230664,0.69974536,0.87103885,0.012784059,-0.0032432484,-0.0077805184,-0.013848122,-0.012436274,-0.06129176,1.042573,1.0665848,1.0980648,1.1181939,1.1181939,0.99402624,0.99402624,0.99402624,0.99402624,0.98805255,1.0277478,1.0477477,1.0553153,1.0918919,1.0888288,1.0122522,1.016036,1.027027,1.0302702,1.0263063,0.2,0.1,0.05,0.033333335,0.025,0.123051904,0.0823303,0.057418894,0.04811056,0.09180356,0.2,0.2,0.05,0.13333334,0.56666666,1.0,1.0,1.0,1.0,0.06666667,-0.8,-0.8,-0.95,-0.8666667,0.5,-0.6396445,0.28354907,0.2745642,-0.18602054,-0.09024603,-0.386945,0.17135072,-0.474135,-0.4027295,-0.1668057,0.0,0.3,0.45,0.43333334,0.51666665,1.0,0.7,0.55,0.53333336,0.46666667,-1.0,-0.4,-0.1,-0.1,0.05,0.0,0.33018902,0.27753335,0.3363097,0.5,1.0,0.669811,0.72246665,0.66369027,0.5,-1.0,-0.339622,-0.4449333,-0.32738057,0.0,0.8451261,0.89179784,1.1984936,1.1284907,1.0829341,0.097858734,0.16775191,0.48454583,0.48868018,0.40031275,0.8549269,0.5780319,1.2330211,1.2732624,1.0723349,0.8069932,0.42094934,0.4384983,0.48863405,0.51083076,0.19300681,0.57905066,0.5615017,0.51136595,0.48916924,0.6139864,-0.15810134,-0.12300342,-0.022731919,0.021661524
SH601618,0.045132529066870694,0.875,,2026-05-27,-0.0035460745,0.02127656,-0.16666578,0.007092262,0.3333369,0.010638223,0.49999735,-1.1323884e-07,-5.3222348e-06,1.0035586,1.0106761,0.9893239,0.9987704,1.0164835,1.0549451,1.0357144,1.0604396,1.1263736,0.9989011,1.0118132,1.0315934,1.0399268,1.0703297,0.0063246456,0.015326194,0.023590716,0.023185097,0.042985536,0.001648352,-0.004245759,-0.0032347373,-0.0021721337,-0.0021874208,0.16981168,0.7034828,0.65805745,0.6802319,0.78980494,-0.0021978102,0.007292712,-0.0008634295,-0.008430833,-0.0058007883,1.0213524,1.0535101,1.0648148,1.0730641,1.1999353,0.96955377,0.96955377,0.96955377,0.96955377,0.96955377,1.0016483,1.0258242,1.0554945,1.0576923,1.1126374,0.9939561,0.9989011,1.0065935,1.0164835,1.0423077,0.7,0.35,0.175,0.11666667,0.058333334,0.5877808,0.3626438,0.31960842,0.2941372,0.13215572,0.2,0.1,0.3,0.1,0.18333334,0.6,0.8,0.9,0.93333334,0.96666664,-0.4,-0.7,-0.6,-0.8333333,-0.78333336,-0.43834814,-0.074832745,0.010051422,-0.16104966,0.8023324,-0.33300576,-0.43568712,-0.070786424,-0.042784076,0.061872426,0.4,0.3,0.35,0.26666668,0.36666667,0.6,0.7,0.5,0.53333336,0.51666665,-0.2,-0.4,-0.15,-0.26666668,-0.15,0.33333334,0.23684193,0.38596487,0.34285706,0.39912274,0.6666667,0.7631581,0.6140351,0.65714294,0.6008772,-0.33333334,-0.5263161,-0.22807026,-0.31428584,-0.20175448,1.0843728,1.0560176,1.03654,0.9843478,1.592157,0.11430956,0.17351222,0.20308103,0.19558176,0.98405224,0.5002489,0.5632978,0.7690092,0.9056708,1.5184808,0.5817724,0.41954124,0.5180901,0.51618826,0.44590813,0.41822764,0.58045876,0.4819099,0.4838117,0.5540919,0.16354473,-0.16091754,0.036180224,0.032376565,-0.10818376
SH601088,0.04482712521782021,1.0,,2026-05-27,0.027870722,0.044370122,0.6281417,0.0028985355,0.06532629,0.013600863,0.30653203,0.03857305,0.8693474,0.972885,1.0028199,0.9596529,0.9790227,0.9978187,0.9718048,1.0236709,1.006059,0.9073356,0.9801099,0.9863387,0.9970472,0.99740666,1.0116119,0.011875564,0.011520074,0.0249177,0.021597156,0.031508673,0.003263856,-0.0009572199,-0.0027582883,-0.00077576685,-0.00063888216,0.1888398,0.06328844,0.42887574,0.09999332,0.12539528,0.013362434,0.017968843,0.02915658,0.013841956,0.0072350516,1.0190401,1.0190401,1.0564166,1.0564166,1.0928489,0.9596529,0.9596529,0.9596529,0.9596529,0.90412563,0.9853934,0.9981257,1.0188398,1.015576,1.0380191,0.9717078,0.9749071,0.9789788,0.97999674,0.98645985,1.0,1.0,0.75,0.73333335,0.45,0.6793899,0.6793899,0.41696492,0.41696492,0.5080155,0.6,0.8,0.15,0.43333334,0.28333333,1.0,1.0,1.0,1.0,0.016666668,-0.4,-0.2,-0.85,-0.56666666,0.26666668,-0.07774991,-0.060178064,0.051314242,0.1560363,0.27402562,0.031673513,0.112469256,0.0352153,0.05091715,0.40438306,0.4,0.6,0.45,0.46666667,0.46666667,0.6,0.4,0.55,0.53333336,0.53333336,-0.2,0.2,-0.1,-0.06666667,-0.06666667,0.5197658,0.6673059,0.44013095,0.48910844,0.5580525,0.4802342,0.33269414,0.55986905,0.51089156,0.44194755,0.039531566,0.3346117,-0.119738124,-0.02178314,0.11610492,0.92213374,0.90967166,0.85822994,0.81897116,0.967826,0.29114324,0.20420566,0.20271203,0.19589825,0.3980714,1.1167456,1.067878,1.451274,1.4070088,1.4726384,0.5834279,0.59273094,0.5158511,0.5335136,0.5157389,0.4165721,0.40726906,0.4841489,0.46648636,0.4842611,0.1668558,0.18546188,0.03170222,0.06702727,0.03147781
SH601059,0.04332000298213941,0.875,,2026-05-27,-0.001156727,0.012724158,-0.09090794,0.0057837158,0.45454603,0.0057837158,0.45454603,-0.001156727,-0.09090794,1.0011581,1.0069485,0.9942096,0.99971735,1.002287,0.9885649,0.95711833,0.97427106,1.0211549,0.99828476,0.9888508,0.9845912,0.98137987,0.982066,0.00478366,0.015748953,0.01348623,0.0126355635,0.021943908,0.0021726743,0.004168614,0.0015059088,0.00079435203,-0.0002825891,0.5157137,0.6422313,0.4363995,0.30629402,0.050580457,-0.002630079,-0.007609543,0.0011026618,0.007102051,0.026270429,1.0139563,1.0139563,1.0139563,1.0139563,1.0274727,0.99025816,0.95358664,0.95358664,0.95358664,0.9352303,1.0009148,1.0004574,0.99622643,0.9932533,1.0036592,0.99473983,0.97289884,0.9725557,0.9725557,0.95997715,0.8,0.8,0.9,0.93333334,0.71666664,0.41108075,0.7688191,0.7688191,0.7688191,0.7021684,0.2,0.6,0.8,0.8666667,0.016666668,0.4,0.2,0.6,0.73333335,0.28333333,-0.2,0.4,0.2,0.13333334,-0.26666668,-0.5040669,0.55144995,0.6596173,0.6468283,0.46949252,-0.22498685,0.5498269,0.6039412,0.5106069,0.25895315,0.4,0.5,0.55,0.5,0.45,0.6,0.5,0.4,0.46666667,0.51666665,-0.2,0.0,0.15,0.033333335,-0.06666667,0.45833272,0.5602407,0.639405,0.5623267,0.47724482,0.5416673,0.4397593,0.360595,0.43767324,0.52275515,-0.083334565,0.12048137,0.27881002,0.1246535,-0.045510344,1.1898823,1.1889226,0.9866044,0.8431756,0.8945349,0.38697946,0.5492021,0.45859197,0.42949626,0.44097328,0.5173703,1.4213188,1.524988,1.6674958,1.6339176,0.37785205,0.5321065,0.5274505,0.49136555,0.48634443,0.622148,0.46789345,0.47254947,0.50863445,0.51365554,-0.2442959,0.06421309,0.05490106,-0.017268883,-0.027311146
SH601901,0.040981958123834136,0.875,,2026-05-27,-0.00990097,0.029702999,-0.33333236,0.012729819,0.42857015,0.0070722094,0.23809749,-0.015558579,-0.523805,1.01,1.0228571,0.99285704,1.0051156,0.9960053,1.035952,0.99334216,1.0159786,1.0972036,1.0071903,1.0049267,1.0158455,1.0134043,1.0186862,0.006358088,0.007507523,0.016036404,0.014438754,0.028940229,0.00026632656,0.0002824549,-0.0010832673,-9.953283e-05,-0.0007361122,0.004386477,0.012975267,0.15970752,0.0036827736,0.19732583,-0.0077230167,-0.006197764,-0.005554453,-0.011961072,0.003029162,1.0299002,1.0402707,1.0469917,1.0469917,1.1014897,0.98942864,0.987528,0.987528,0.987528,0.96509117,1.0133156,1.0133156,1.0338216,1.0260985,1.0479361,1.0010653,0.99920106,1.0010653,1.0013314,0.9944074,0.2,0.3,0.2,0.16666667,0.26666668,0.26120484,0.23646814,0.20974064,0.20974064,0.25593293,0.2,0.1,0.45,0.6333333,0.016666668,0.4,0.3,0.65,0.76666665,0.41666666,-0.2,-0.2,-0.2,-0.13333334,-0.4,-0.7239724,0.050486874,0.08692019,0.22067876,-0.033948857,0.033990066,-0.030068358,0.16413686,0.17785065,0.05515405,0.6,0.4,0.55,0.43333334,0.45,0.2,0.5,0.4,0.46666667,0.48333332,0.4,-0.1,0.15,-0.033333335,-0.033333335,0.5652176,0.30434775,0.52066135,0.46000016,0.4153133,0.43478236,0.69565225,0.47933862,0.53999984,0.5846867,0.13043529,-0.39130452,0.04132274,-0.07999966,-0.16937341,0.97141147,0.79768795,0.76186144,0.6908053,0.6983747,0.20669803,0.24492264,0.19799699,0.19538668,0.20820238,0.80596817,0.62276024,0.6907039,0.8634665,1.1749977,0.64920104,0.5879912,0.5829866,0.46845093,0.5211378,0.35079896,0.41200882,0.4170134,0.5315491,0.47886226,0.2984021,0.17598233,0.16597319,-0.063098155,0.042275507
SH603195,0.040774501223260456,0.875,,2026-05-27,0.042026915,0.071806,0.5852842,0.026657058,0.3712372,0.003122025,0.043478608,0.018491883,0.2575256,0.9596681,1.025582,0.956672,1.0007551,0.999123,0.9933212,0.9532483,0.9523039,1.0161235,0.9945355,0.99292314,0.99413073,0.980004,0.97794306,0.022531599,0.015659835,0.02637705,0.029590786,0.02553037,-0.00789314,-4.3746324e-05,0.00069299014,0.0021272597,0.00014598315,0.3068002,7.153525e-05,0.024158485,0.40052512,0.0099722035,0.021250768,0.0072737094,-0.0007141347,-0.010849301,0.017750451,1.0274786,1.0274786,1.0440351,1.0440351,1.0440351,0.956672,0.956672,0.9433316,0.94033515,0.93638563,1.0123997,1.0023612,1.0143965,1.0070026,1.0029548,0.98120487,0.98654795,0.9808271,0.952088,0.9522094,0.6,0.8,0.6,0.73333335,0.78333336,0.6119205,0.6119205,0.5627254,0.57536066,0.5909401,0.2,0.6,0.2,0.46666667,0.73333335,1.0,1.0,0.1,0.033333335,0.3,-0.8,-0.4,0.1,0.43333334,0.43333334,0.41850558,0.39569977,0.8085215,0.8937777,0.72930956,0.72474134,0.5463442,0.795629,0.7840197,0.62304837,0.6,0.6,0.5,0.46666667,0.41666666,0.4,0.4,0.45,0.5,0.56666666,0.2,0.2,0.05,-0.033333335,-0.15,0.5039322,0.52537173,0.5716649,0.563204,0.48788893,0.49606782,0.47462824,0.42833507,0.436796,0.51211107,0.007864351,0.050743494,0.14332983,0.126408,-0.024222132,0.65568596,0.5995346,0.6712571,0.50258416,0.36853245,0.22025384,0.21496248,0.4827861,0.46032616,0.3547696,0.9648851,1.3549308,2.1986835,2.6858563,3.1977174,0.7362915,0.6211587,0.56973237,0.5626109,0.5316067,0.26370847,0.37884128,0.43026763,0.43738905,0.46839333,0.47258303,0.24231745,0.13946474,0.12522188,0.06321334
SH601318,0.03761069320316489,0.875,,2026-05-27,-0.01860723,0.022660267,-0.82113916,0.00018422287,0.0081297755,0.0038688115,0.17073107,-0.014922643,-0.65853786,1.01896,1.0191478,0.9960578,1.004979,1.0157571,1.0895692,1.0846564,1.104188,1.1920197,1.0106884,1.0232341,1.0663172,1.0751323,1.0993559,0.0077790176,0.019718833,0.047976144,0.041099463,0.04804469,-0.0007249451,-0.005391401,-0.006823991,-0.003244166,-0.0021233824,0.021712044,0.6852551,0.7080994,0.4828759,0.595752,-0.009238516,0.0010272162,-0.0014892679,-0.0280919,-0.036716167,1.0386381,1.098531,1.1471605,1.1471605,1.196553,0.9960578,0.9960578,0.9960578,0.9960578,0.9960578,1.0180336,1.0327243,1.1151998,1.1143491,1.1496255,1.006135,1.008867,1.0174346,1.021916,1.0661913,0.2,0.1,0.05,0.033333335,0.016666668,0.09258184,0.03847022,0.026089296,0.026089296,0.019662146,0.2,0.1,0.3,0.53333336,0.016666668,1.0,1.0,1.0,1.0,1.0,-0.8,-0.9,-0.7,-0.46666667,-0.98333335,0.19646439,0.35135877,0.24492915,-0.051225375,-0.12390056,0.22660361,0.07005267,0.42342976,0.34067363,-0.006623168,0.4,0.2,0.35,0.3,0.38333333,0.6,0.8,0.65,0.6666667,0.6,-0.2,-0.6,-0.3,-0.36666667,-0.21666667,0.29225925,0.099195965,0.29372263,0.32265955,0.37201503,0.7077408,0.90080404,0.7062774,0.67734045,0.62798494,-0.41548154,-0.8016081,-0.41255474,-0.3546809,-0.25596994,1.0082649,1.0241387,1.0674485,0.9437385,0.88927203,0.1527202,0.16710642,0.28163114,0.29190364,0.2835615,0.94058377,0.8639721,1.2411908,1.2779562,1.2073796,0.5623859,0.45327535,0.5281429,0.5182996,0.4936959,0.43761405,0.5467246,0.4718571,0.4817004,0.5063041,0.12477188,-0.09344927,0.05628582,0.036599193,-0.012608148
SH600999,0.03464487804138097,0.5,,2026-05-27,-0.0005617786,0.036516838,-0.0153840985,0.03089895,0.84615624,0.0050561097,0.13845968,-0.026404617,-0.72308064,1.0005621,1.0314784,0.99494106,1.0091219,0.95835465,0.90725607,0.8640777,0.8926929,0.9330608,0.98855394,0.9538069,0.92362034,0.9092829,0.8986629,0.013044423,0.0424072,0.04394149,0.041563164,0.034558434,0.0070260568,0.013434289,0.0068166717,0.0038041477,0.00079734606,0.7252931,0.9199445,0.8422931,0.649231,0.16236241,-0.0026060462,-0.014261176,0.011621252,0.035556916,0.07781535,1.0314784,1.0314784,1.0314784,1.0314784,1.0314784,0.96683663,0.88139975,0.8634644,0.85733145,0.8391927,1.0009198,0.9869188,0.97572815,0.94363827,0.90914667,0.9787941,0.9076137,0.88681656,0.8790496,0.8740419,0.8,0.9,0.95,0.96666664,0.98333335,0.513033,0.79025394,0.8126441,0.81924224,0.8362936,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.05,0.33333334,0.28333333,0.6,0.8,0.95,0.6666667,0.71666664,-0.24202633,0.6627153,0.6960754,0.7047234,0.6754776,0.8808908,0.58755004,0.515723,0.34867838,0.19405153,0.6,0.6,0.7,0.53333336,0.48333332,0.4,0.4,0.3,0.43333334,0.46666667,0.2,0.2,0.4,0.1,0.016666668,0.8410029,0.8060702,0.8064512,0.7042799,0.5619678,0.1589971,0.1939298,0.19354878,0.2957201,0.4380322,0.68200576,0.6121404,0.6129024,0.40855983,0.123935565,1.2804592,1.0609105,0.826433,0.6586314,0.5157654,0.5475987,0.48988765,0.43010432,0.42801312,0.35004085,1.0350461,0.85033953,1.1273214,1.4161631,1.4596181,0.48823872,0.56983346,0.5547985,0.52073365,0.5183177,0.51176125,0.43016657,0.44520155,0.47926635,0.4816823,-0.023522528,0.13966689,0.10959692,0.041467316,0.036635417
